city,lat,lng,country,iso2,capital,population,population_proper
Tehran,35.6892,51.3889,Iran,IR,primary,14148000,9033003
Mashhad,36.3264,59.5433,Iran,IR,admin,3372090,3001184
Khowrhesht,36.205,49.6872,Iran,IR,,2500000,2500000
Karaj,35.8272,50.9489,Iran,IR,admin,1973470,1592492
Shiraz,29.61,52.5425,Iran,IR,admin,1565572,1565572
Tabriz,38.0814,46.3006,Iran,IR,admin,1558693,1558693
Qom,34.64,50.8764,Iran,IR,admin,1201158,1201158
Ahvaz,31.3047,48.6783,Iran,IR,admin,1184788,1184788
Kerman,34.3325,47.0933,Iran,IR,admin,946651,945651
Kermanshah,30.2911,57.0678,Iran,IR,admin,738374,537718
Orumieh,37.5439,45.0647,Iran,IR,admin,736224,736224
Pishbar,33.3886,59.9789,Iran,IR,,720207,720207
Borvāyeh-ye Al Bū ‘Azīz,31.6283,48.6147,Iran,IR,,690000,690000
Rasht,37.2744,49.5889,Iran,IR,admin,679995,679995
Bahār,34.9028,48.4425,Iran,IR,minor,673405,673405
Zahedan,29.5025,60.8558,Iran,IR,admin,587730,587730
Hamedan,34.8064,48.5161,Iran,IR,admin,554406,554406
Yazd,31.8822,54.3397,Iran,IR,admin,529673,529673
Ardabil,38.2425,48.29,Iran,IR,admin,529374,529374
Bandar Abbas,27.1961,56.2878,Iran,IR,admin,526648,526648
Arak,34.0914,49.6933,Iran,IR,admin,520944,520944
Eslamshahr,35.5317,51.2247,Iran,IR,minor,448129,448129
Sanandaj,35.3114,46.9961,Iran,IR,admin,412767,412767
Qazvīn,36.2894,50.0086,Iran,IR,admin,402748,402748
Zanjān,36.6789,48.5056,Iran,IR,admin,386851,386851
Khorramābād,33.4875,48.3561,Iran,IR,admin,373416,373416
Gorgān,36.8378,54.4414,Iran,IR,admin,312223,312223
Shahrīār,35.6722,51.0236,Iran,IR,minor,309607,309607
Shahr-e Qods,35.7097,51.1119,Iran,IR,minor,309605,309605
Kāshān,33.9825,51.4325,Iran,IR,minor,304487,304487
Malard,35.6806,50.9783,Iran,IR,minor,281027,281027
Sartā,36.4491,53.3234,Iran,IR,,271467,271467
Dezfūl,32.3786,48.4144,Iran,IR,minor,264709,264709
Babol,36.5475,52.6783,Iran,IR,minor,250217,250217
Bojnourd,37.4722,57.3289,Iran,IR,admin,250000,199791
Qaem Shahr,36.4636,52.8581,Iran,IR,,247953,204953
Khomeynī Shahr,32.6803,51.5361,Iran,IR,minor,247128,247128
Sabzevār,36.2125,57.6764,Iran,IR,minor,243700,243700
Āmol,36.4703,52.3467,Iran,IR,minor,237528,237528
Pakdasht,35.485,51.6794,Iran,IR,minor,236319,236319
Najafābād,32.6447,51.3603,Iran,IR,minor,235281,235281
Borujerd,33.9111,48.7522,Iran,IR,minor,234997,234997
Madan,30.3469,48.2825,Iran,IR,,231476,231476
Qarchak,35.4267,51.5842,Iran,IR,minor,231075,231075
Varāmīn,35.3508,51.6358,Iran,IR,minor,225628,225628
Bandar-e Būshehr,28.9264,50.8514,Iran,IR,admin,223504,223504
Neyshābūr,36.22,58.82,Iran,IR,minor,221700,221700
Saveh,35.0278,50.3611,Iran,IR,minor,220762,220762
Birjand,32.8744,59.2161,Iran,IR,admin,203636,203636
Nasīm Shahr,35.5617,51.1617,Iran,IR,,200393,200393
Khowy,38.5464,44.9542,Iran,IR,minor,198845,198845
Būkān,36.515,46.2075,Iran,IR,minor,193501,193501
Shahr-e Kord,32.3311,50.8594,Iran,IR,admin,190441,190441
Semnan,35.5811,53.3833,Iran,IR,admin,185129,185129
Ferdous,35.73,50.9822,Iran,IR,minor,181174,181174
Marāgheh,37.3894,46.2378,Iran,IR,minor,175255,175255
Sirjan,29.437,55.6802,Iran,IR,minor,175000,175000
Shahin Shahr,32.8606,51.5531,Iran,IR,minor,173329,173329
Malayer,34.3,48.8178,Iran,IR,minor,170237,170237
Mahābād,36.7678,45.7339,Iran,IR,,168393,168393
Saqqez,36.2411,46.2706,Iran,IR,minor,165258,165258
Bandar-e Māhshahr,30.5567,49.1897,Iran,IR,minor,162797,162797
Rafsanjān,30.4111,55.9911,Iran,IR,minor,161909,161909
Borāzjān,29.2694,51.22,Iran,IR,minor,155567,110567
Gonbad-e Kāvūs,37.2433,55.1692,Iran,IR,minor,151910,151910
Shahroud,36.4133,54.9781,Iran,IR,minor,150129,150129
Marvdasht,29.8786,52.8067,Iran,IR,minor,148858,148858
Quchan,37.106,58.5095,Iran,IR,minor,145531,145531
Jahrom,28.5031,53.5658,Iran,IR,minor,141634,141634
Kamālshahr,35.8658,50.8717,Iran,IR,,141166,141166
Torbat-e Ḩeydarīyeh,35.29,59.2169,Iran,IR,minor,140019,140019
Marīvān,35.5217,46.1806,Iran,IR,minor,136654,136654
Andīmeshk,32.4714,48.3489,Iran,IR,minor,135116,135116
Shahreẕā,32.0122,51.8594,Iran,IR,minor,134952,134952
Zabol,31.0339,61.4878,Iran,IR,minor,134950,134950
Khorramshahr,30.4394,48.1817,Iran,IR,minor,133097,133097
Marand,38.4331,45.7686,Iran,IR,minor,130825,130825
Jiroft,28.6797,57.7447,Iran,IR,minor,130429,130429
Salmas,38.2028,44.7669,Iran,IR,minor,127864,127864
Bam,29.0994,58.3436,Iran,IR,minor,127396,127396
Behbahān,30.5942,50.2433,Iran,IR,minor,122604,122604
Dorūd,33.4994,49.0531,Iran,IR,minor,121608,121608
Naz̧arābād,35.9583,50.605,Iran,IR,minor,119512,119512
Moḩammad Shahr,35.7483,50.9025,Iran,IR,,119418,119418
Bandar-e Anzalī,37.4708,49.47,Iran,IR,minor,118564,118564
IranShahr,27.1978,60.6836,Iran,IR,minor,113750,113750
Fasa,28.9483,53.6336,Iran,IR,minor,110825,110825
baneh,35.9969,45.8853,Iran,IR,minor,110218,110218
Yasouj,30.6672,51.5797,Iran,IR,admin,108505,108505
Chabahar,25.2928,60.6497,Iran,IR,minor,106739,106739
Robāţ Karīm,35.4825,51.0786,Iran,IR,minor,105393,105393
Kashmar,35.2431,58.4594,Iran,IR,minor,102282,102282
Shoushtar,32.045,48.8594,Iran,IR,minor,101878,101878
Ahar,38.4797,47.0669,Iran,IR,minor,100641,100641
Masjed Soleymān,31.96,49.2881,Iran,IR,minor,100497,100497
Torbat-e Jām,35.2431,60.625,Iran,IR,minor,100449,100449
Boumehen,35.7314,51.8675,Iran,IR,,79034,79034
Māhdāsht,35.7194,50.7978,Iran,IR,,62910,62910
Mahdasht,35.7469,50.9361,Iran,IR,,62005,62005
Chahār Dangeh,35.5958,51.3083,Iran,IR,,49950,49950
Darcheh,32.6131,51.5531,Iran,IR,,43183,43183
Eshtehārd,35.7247,50.3717,Iran,IR,minor,29993,29993
Sardrūd,38.0286,46.1475,Iran,IR,,29739,29739
Garmdarreh,35.7478,51.0678,Iran,IR,,22726,22726
"Morteẕá Gerd",35.6019,51.3486,Iran,IR,,15506,15506
Khomām,37.3911,49.6597,Iran,IR,,12901,12901
Basmenj,37.9964,46.4717,Iran,IR,,12692,12692
Sangar,37.1797,49.6942,Iran,IR,,12583,12583
Kushk,32.6419,51.4997,Iran,IR,,11264,11264
Hamadānak,35.5422,51.1383,Iran,IR,,11216,11216
Lasht-e Neshā,37.3608,49.8611,Iran,IR,,10539,10539
Kouchesfahan,37.2783,49.7728,Iran,IR,,10026,10026
Shahrak-e Pārs,35.6081,51.3808,Iran,IR,,8625,8625
